Year,Month,Deal ID,Stage,PSO/Non-PSO,Region,Practice,Channel,Business Unit,Weight,Leads UW,Leads,SalesOps,Actuals
2021,4,2959,L2,Non-PSO,US-East,Marketing Analytics,GCP,Others,0.30,"$32,500","$9,750",$0,$0
2021,4,2968,Commit,Non-PSO,US-East,Custom AI/ML,Direct,BFSI,1.00,"$22,300","$22,300","$22,300","$44,800"
2021,4,2988,Commit,Non-PSO,US-West,Data & Analytics,GCP,Others,1.00,"$34,424","$34,424","$34,424","$22,172"
2021,4,2996,On Hold,PSO,US-East,Conversational AI,GCP,Edu & PubSec,0.00,"$7,143",$0,$0,$0
2021,4,3054,L1,PSO,US-West,Conversational AI,GCP,Edu & PubSec,0.30,"$76,500","$22,950",$0,$0
2021,4,3059,Commit,PSO,US-West,Conversational AI,GCP,TMEG,1.00,"$50,614","$50,614","$50,614","$50,614"
2021,4,3081,Commit,Non-PSO,India,Data & Analytics,AWS,BFSI,1.00,"$9,950","$9,950","$9,950","$1,791"
2021,4,3114,On Hold,PSO,US-East,Conversational AI,GCP,Edu & PubSec,0.00,"$92,000",$0,$0,$0
2021,4,3121,L1,Non-PSO,India,Custom AI/ML,AWS,Others,0.90,"$16,667","$15,000",$0,$0
2021,4,3123,Commit,Non-PSO,India,Managed Services,AWS,BFSI,1.00,$944,$944,$944,$933
2021,4,3125,L1,Non-PSO,US-West,Conversational AI,GCP,BFSI,0.90,"$39,286","$35,357",$0,"$30,000"
2021,4,3130,L2,Non-PSO,US-West,Custom AI/ML,Direct,TMEG,0.30,"$26,786","$8,036",$0,$0
2021,4,3151,Commit,Non-PSO,US-Central,Document Understanding AI,GCP,Others,1.00,"$30,000","$30,000","$30,000","$3,000"
2021,4,3160,L2-L4 Extn,Non-PSO,US-East,Custom AI/ML,Direct,TMEG,0.70,"$14,881","$10,417","$10,417",$0
2021,4,3161,L4,Non-PSO,APAC,Document Understanding AI,GCP,Edu & PubSec,0.10,"$60,000","$6,000",$0,$0
2021,4,3170,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$16,632","$16,632","$16,632","$16,632"
2021,4,3185,On Hold,Non-PSO,US-East,Conversational AI,GCP,Edu & PubSec,0.00,"$31,638",$0,$0,$0
2021,4,3208,L2,Non-PSO,US-East,Conversational AI,GCP,Edu & PubSec,0.75,"$7,778","$5,833",$0,$0
2021,4,3211,L1,Non-PSO,APAC,Custom AI/ML,AWS,BFSI,0.90,"$33,661","$30,295","$3,134",$0
2021,4,3265,L1,Non-PSO,India,Custom AI/ML,AWS,Others,0.90,"$8,143","$7,328",$0,"$9,627"
2021,4,3268,On Hold,Non-PSO,India,Data & Analytics,GCP,HCLS,0.00,"$5,500",$0,$0,$0
2021,4,3273,Commit,Non-PSO,US-East,Custom AI/ML,GCP,HCLS,1.00,"$53,440","$53,440","$53,440","$53,440"
2021,4,3295,Commit,Non-PSO,US-Central,Document Understanding AI,GCP,BFSI,1.00,"$221,049","$221,049","$221,049","$61,848"
2021,4,3301,Commit,Non-PSO,US-Central,Data & Analytics,GCP,Edu & PubSec,1.00,"$9,461","$9,461","$9,461","$2,500"
2021,4,3304,Commit,Non-PSO,EMEA,Data & Analytics,GCP,Others,1.00,"$20,240","$20,240","$20,240","$20,945"
2021,4,3312,On Hold,Non-PSO,US-East,Conversational AI,GCP,Others,0.00,"$11,286",$0,$0,$0
